,Total_Emissions,Household_Emissions,Business_Emissions,Vehicle_Emissions,Energy_Emissions,Avg_Efficiency,Total_A_Star_Cost
0,0.0,0.0,0.0,0.0,0.0,0.6775439349185738,0.0
1,8188.834742404484,1578.4913034089038,3791.65439677222,231.86705304010846,2586.8219891832514,0.6876083235427787,10356.218222608411
2,8119.660599235046,1522.5367524345352,3783.660978837375,230.94373949954985,2582.5191284635866,0.6975567577443924,18484.20777286636
3,8100.591357158418,1516.696399994138,3775.655497675417,230.02319174494133,2578.2162677439214,0.707427977690721,26593.02311622181
4,8081.556456434484,1510.8995201457508,3767.6381268580835,229.1054024063932,2573.9134070242567,0.7170417480317101,34682.704739002824
5,8045.333823627145,1487.9238728133778,3759.6090403767425,228.19036413243228,2569.6105463045915,0.726571159796416,42735.82872251684
6,8026.567832826071,1482.413665027887,3751.5684126232995,227.27806958995762,2565.3076855849267,0.7360494976846214,50770.06195276079
7,8007.825488619335,1476.9357339187843,3743.516418371096,226.36851146419625,2561.0048248652615,0.7454612623905037,58785.46444873714
8,7972.132489117668,1454.515609757592,3735.4532327558222,225.46168245865968,2556.7019641455963,0.7548526817776329,66765.06951645206
9,7903.594456474627,1399.258746497165,3727.3790312564306,224.55757529509935,2552.399103425931,0.7641467994246918,74676.08197257921
10,7885.109852053873,1394.0634369580876,3719.293989676058,223.65618271346344,2548.0962427062664,0.7733615754655075,82568.46537484728
11,7866.661496901919,1388.9123333205046,3711.1982841229615,222.75749747185284,2543.793381986601,0.7824801571823132,90442.33180672424
12,7151.204139489709,1383.8310776367434,3703.092090991469,221.8615123464778,1842.419458515018,0.7912571572530941,97276.0419835692
13,7118.197511269291,1362.911889417989,3694.975586942948,220.9682201316145,1839.341814776741,0.7999587456888635,104401.17054396257
14,7101.226008769049,1358.032678256708,3686.8489488867967,220.07761363956124,1836.2667679859833,0.8085469809829811,111509.25123183962
15,7084.310594032014,1353.2168331747396,3678.7123539614536,219.18968570059556,1833.1917211952255,0.8171352162770986,118600.31286806706
16,7067.387775091899,1348.4006920090621,3670.565979515438,218.3044291629313,1830.1166744044676,0.8257234515712164,125674.42786619393
17,7050.458005086862,1343.5845374920548,3662.410003088423,217.42183689267483,1827.0416276137094,0.8343116868653337,132731.5891306504
18,7033.521736358375,1338.7686513693072,3654.24460239233,216.5419017737828,1823.9665808229515,0.8428999221594516,139771.7900244093
19,6999.763979288011,1317.137873255331,3646.069955292469,215.6646167080187,1820.8915340321937,0.8512321485210469,146778.20892703097
20,6982.98787079588,1312.49228626309,3637.88623978871,214.7928575026455,1817.8164872414359,0.8593262661681056,153767.6498928708
21,6966.352220220038,1307.9913272657463,3629.693633996697,213.92581850691795,1814.7414404506776,0.8673661928992201,160740.28669931338
22,6949.737720840367,1303.5176225555922,3621.492316129108,213.06138849574336,1811.6663936599198,0.8753426634874556,167696.26708032304
23,6917.149034316476,1283.0756624690218,3613.2824644769544,212.19956050133936,1808.591346869162,0.8831125082031237,174619.61340235375
24,6900.613753917959,1278.6761507030703,3605.0642573909317,211.3570457455512,1805.5163000784041,0.8906401333654356,181526.35438550106
25,6884.162978930418,1274.3395772494462,3596.8378732628307,210.52014182629708,1802.4653865918474,0.8978452659402085,188416.54922579692
26,6867.801600665165,1270.0624850484126,3588.6034905069873,209.71965776552656,1799.415967344238,0.9046871990364047,195290.29777013266
27,6851.614678432689,1265.9526747056323,3580.3612875417975,208.93416808862983,1796.3665480966288,0.9110868237392303,202147.67299775334
28,6835.527637499223,1261.9263139735826,3572.111442771295,208.17275190532638,1793.3171288490191,0.9173927060921712,208988.87599745273
29,6819.524844437507,1257.9886910914738,3563.854134566781,207.41430917784476,1790.2677096014095,0.923640183446588,215813.9922424518
30,6161.85138770302,1238.0571783007827,3555.5895412485274,206.66386451090753,1161.540803642803,0.9296046442855063,221694.71757401642
31,6147.001120223195,1234.1897738164523,3547.3178410675446,205.93829254582676,1159.5552127933697,0.9351467152515601,227847.2063983759
32,6132.357410404167,1230.4824239025197,3539.03921218742,205.26615237029336,1157.5696219439365,0.9403506958076827,233984.8570323667
33,6117.9201885645425,1226.9589717031129,3530.753832666224,204.62335310070026,1155.5840310945036,0.944975737157562,240107.85040981084
34,6104.018639746098,1223.5293166987276,3522.4618804384963,204.0247077289448,1154.00273487993,0.9490271995302026,246216.85438369348
35,6091.159045512202,1220.2339438655908,3514.1635332973074,203.48400481019223,1153.2775635391124,0.9528058898732081,252312.8921769159
36,6063.089570351541,1201.023142482286,3505.858968876402,202.9525301005093,1153.2549288923426,0.9561571930895991,258380.79163679786
37,6051.054674411096,1197.8217668467669,3497.54836463242,202.45224868633437,1153.2322942455728,0.9593003405594208,264436.65490606346
38,6039.0622698980915,1194.629857057395,3489.231897827209,201.9908554146858,1153.2096595988032,0.9621894755157083,270480.52442231704
39,5995.151843061116,1159.4977534166621,3480.909745510221,201.5573191822023,1153.1870249520334,0.9644131358889024,276480.4261916362
40,5968.3187892779215,1140.6705189316144,3473.348655021799,201.13522501924544,1153.1643903052639,0.9663591004569847,282452.5281305767
41,5957.783026106169,1137.939814685932,3465.9780037909636,200.72345197077928,1153.141755658494,0.9681708651628671,288413.81526703655
42,5947.264681220238,1135.220212815239,3458.603342326437,200.32200506683773,1153.1191210117242,0.9699723234151281,294364.5890538618
43,5936.760177976195,1132.5175145128874,3451.2248160416484,199.9213610567041,1153.0964863649547,0.9716514597856861,300304.8576353472
44,5926.3329292290755,1129.894989009157,3443.842570167144,199.52151833459067,1153.0738517181849,0.9732118787507905,306234.6341042736
45,5916.0521796942285,1127.342340120064,3436.536147204829,199.12247529792154,1153.0512170714153,0.974694231691967,312153.9879039355
46,5906.166334545738,1124.8012430823455,3429.612278691423,198.72423034732572,1153.0285824246455,0.9760486872785883,318063.11820614187
47,5896.892756677354,1122.2716560554195,3423.2883709574294,198.326781886631,1153.0059477778757,0.9772530213359909,323962.38063410076
48,5887.969312889611,1119.7980283669444,3417.2578430687045,197.93012832285774,1152.9833131311061,0.9784294919242261,329852.42400888517
49,5879.0704060825865,1117.3497422351365,3411.225717296899,197.53426806621204,1152.9606784843363,0.9795811729948102,335733.5649004516
50,5870.198346295902,1114.9290032129136,3405.192099715343,197.1391995300796,1152.9380438375667,0.9806399965242221,341605.823885096
51,5861.397055959926,1112.579629379528,3399.1570962585797,196.74492113101945,1152.915409190797,0.9816365775573127,347469.22415344964
52,5852.618996073187,1110.242002415309,3393.1208127112914,196.35143128875734,1152.9047496578328,0.9825777540279009,353323.85522296483
53,5843.862896367199,1107.916063585911,3387.083354697277,195.95872842617987,1152.9047496578328,0.9834388187275338,359169.7390122701
54,5835.501120499949,1105.6017544506599,3381.4278054221313,195.56681096932755,1152.9047496578328,0.9842858775510632,365006.9299609868
55,5827.218155159895,1103.2990168610856,3375.8387112935898,195.1756773473889,1152.9047496578328,0.9851329363745926,370835.7872669084
56,5818.947212210402,1101.0077929594586,3370.2493436004165,194.78532599269414,1152.9047496578328,0.9859159318953937,376656.3823259312
57,5811.0253701376205,1098.7280251773402,3364.996839961739,194.39575534070872,1152.9047496578328,0.9866688730718642,382468.73117407877
58,5803.27394271318,1096.459656234132,3359.902572991189,194.0069638300273,1152.9047496578328,0.9874218142483351,388273.18097625487
59,5795.535030566126,1094.20262913564,3354.808701870287,193.61894990236726,1152.9047496578328,0.9881747554248056,394069.90044068295
60,5787.808653434124,1091.9568871726406,3349.715304601092,193.23171200256246,1152.9047496578328,0.9889276966012761,399858.9020622214
61,5780.0948311985585,1089.7223739194562,3344.622459042713,192.84524857855737,1152.9047496578328,0.9896806377777466,405640.19835580536
62,5772.393583874725,1087.4990332325376,3339.5302429029534,192.45955808140027,1152.9047496578328,0.9904202258411755,411413.8018565793
63,5764.7631878750035,1085.2868092490532,3334.49699000288,192.0746389652375,1152.9047496578328,0.9910790493705872,417179.7297017669
64,5757.497615723716,1083.0856463854868,3329.816729993089,191.69048968730698,1152.9047496578328,0.9917378728999989,422938.07570710196
65,5750.2451529635455,1080.895489336238,3325.1378052615387,191.3071087079324,1152.9047496578328,0.9923966964294108,428689.1775860464
66,5727.005807577958,1062.7162830722355,3320.4602803573753,190.9244944905165,1152.9047496578328,0.9930555199588226,434417.04841697623
67,5719.7795876829205,1060.5479728395528,3315.7842196839983,190.54264550153542,1152.9047496578328,0.9937143434882343,440137.70128657244
68,5712.566501518422,1058.3905041580338,3311.1096874920245,190.16156021053234,1152.9047496578328,0.9942973409688856,445851.1492899449
69,5705.695865965943,1056.2438228199223,3306.7660563980758,189.78123709011135,1152.9047496578328,0.9948620468512382,451557.4239960277
70,5698.918122200178,1054.1078748885013,3302.503823037914,189.4016746159311,1152.9047496578328,0.9954267527335914,457256.85411656037
71,5692.153956729474,1051.9826066967378,3298.2437291082074,189.02287126669927,1152.9047496578328,0.9959914586159444,462949.52817682433
72,5685.403367003303,1049.8679648459326,3293.985826975374,188.6448255241658,1152.9047496578328,0.9965561644982972,468635.45971468824
73,5678.6663505964725,1047.7638962043816,3289.730168861138,188.26753587311748,1152.9047496578328,0.99712087038065,474314.66226578073
74,5671.942905201917,1045.6703479060386,3285.476806836674,187.8910008013713,1152.9047496578328,0.9976855762630032,479987.14936360606
75,5665.233028623599,1043.587267349187,3281.225792816814,187.51521879976852,1152.9047496578328,0.998250282145356,485652.93453965517
76,5658.5367187694155,1041.5146021951196,3276.9771785542925,187.14018836216897,1152.9047496578328,0.9987102255037209,491312.0313235075
77,5652.414473249667,1039.4523003668226,3273.2915152395676,186.76590798544467,1152.9047496578328,0.9990344663908022,496964.4904311008
78,5646.9231322119285,1037.400310047667,3270.2256963369555,186.39237616947372,1152.9047496578328,0.9992623607774657,502610.87347394583
79,5641.825954299177,1035.3585796801074,3267.5430335441006,186.0195914171348,1152.9047496578328,0.9993724767382316,508251.8240822417
80,5637.263884876816,1033.3270579643859,3265.384525020297,185.64755223430052,1152.9047496578328,0.9994665943852903,513887.7049522226
81,5632.791636927646,1031.3056938572424,3263.30493628274,185.27625712983192,1152.9047496578328,0.9995607120323491,519519.0460371392
82,5628.334955660246,1029.2944365706348,3261.2300648162054,184.9057046155723,1152.9047496578328,0.999654829679408,525145.9381393385
83,5623.893783462384,1027.29323557046,3259.1599050277523,184.53589320634114,1152.9047496578328,0.9997489473264668,530768.3967319903
84,5619.468062993245,1025.3020405752868,3257.094451340199,184.16682141992843,1152.9047496578328,0.9998430649735256,536386.4372310982
85,5615.057737181188,1023.3208015550889,3255.0336981911796,183.79848777708858,1152.9047496578328,0.9999371826205845,542000.0749957672
86,5610.662749221553,1021.3494687299919,3252.977640032193,183.43089080153442,1152.9047496578328,1.0,547609.325328471
87,5606.404718178358,1019.387992569021,3251.047946931572,183.0640290199314,1152.9047496578328,1.0,553214.2092627431
88,5602.406100162725,1017.4363237888546,3249.3671257541478,182.6979009618915,1152.9047496578328,1.0,558814.8694855425
89,5598.423015210646,1015.4944133525889,3247.6913470402556,182.3325051599677,1152.9047496578328,1.0,564411.554074273
90,5594.455397938489,1013.5622124685043,3246.020595662505,181.96784014964777,1152.9047496578328,1.0,570004.2784619172
91,5590.503183254906,1011.6396725888404,3244.3548565388874,181.60390446934846,1152.9047496578328,1.0,575593.0580165341
92,5586.566306359459,1009.7267454085754,3242.6941146326417,181.24069666040975,1152.9047496578328,1.0,581177.908041551
93,5582.644702741246,1007.8233828642109,3241.038354952114,180.8782152670889,1152.9047496578328,1.0,586758.84377605
94,5578.738308177583,1005.9295371325684,3239.3875625506275,180.51645883655473,1152.9047496578328,1.0,592335.880395057
95,5574.847058732645,1004.0451606295845,3237.7417225263457,180.15542591888172,1152.9047496578328,1.0,597909.033009827
96,5570.970890756126,1002.1702060091148,3236.1008200221377,179.79511506704392,1152.9047496578328,1.0,603478.3166681284
97,5567.1097408819305,1000.3046261617484,3234.464840225441,179.4355248369098,1152.9047496578328,1.0,609043.7463545274
98,5563.263546026822,998.4483742136182,3232.8337683681343,179.076653787236,1152.9047496578328,1.0,614605.3369906703
99,5559.432243389125,996.6014035252288,3231.207589726401,178.71850047966151,1152.9047496578328,1.0,620163.1034355622
